Category,Question,Answer,Translation
Syllabification Exercise,a:huiya,a:.hui.ya,to be happy
Syllabification Exercise,hui:tzilin,hui:.tzi.lin,hummingbird
Syllabification Exercise,calli,cal.li,house
Syllabification Exercise,tzi:ntli,tzi:n.tli,base/foundation/buttocks
Syllabification Exercise,huitztli,huitz.tli,thorn
Syllabification Exercise,michin,mi.chin,fish
Syllabification Exercise,chi:lli,chi:l.li,chile
Syllabification Exercise,Tlachco,Tlach.co,Taxco
Syllabification Exercise,Tlaxcalla:n,Tlax.cal.la:n,Tlaxcala
Syllabification Exercise,tamalli,ta.mal.li,tamale
Syllabification Exercise,xoctli,xoc.tli,pot
Syllabification Exercise,nextli,nex.tli,ashes
Syllabification Exercise,nextamalli,nex.ta.mal.li,nixtamal/maize soaked in lime water and ground
Syllabification Exercise,a:huacatl,a:.hua.catl,avocado
Syllabification Exercise,cualli,cual.li,(something) good
Syllabification Exercise,te:uctli,te:uc.tli,lord
Syllabification Exercise,ahtlatl,ah.tlatl,stick for throwing a spear
Syllabification Exercise,Na:huatl,Na:.huatl,clear/intelligible speech
